
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Principales índices mensuales"

"Fecha de consulta: 18/03/2026 02:49:47"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","IPC Por objeto del gasto Nacional, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1969 - Feb 2026"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jul 2018"
"Aviso","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011."
"Tipo de información","Índices"
"Fecha","SP1"
01/11/1995,21.809608000000
01/12/1995,22.520167000000
01/01/1996,23.329754000000
01/02/1996,23.874262000000
01/03/1996,24.399826000000
01/04/1996,25.093450000000
01/05/1996,25.550842000000
01/06/1996,25.966902000000
01/07/1996,26.336031000000
01/08/1996,26.686072000000
01/09/1996,27.112751000000
01/10/1996,27.451168000000
01/11/1996,27.867083000000
01/12/1996,28.759336000000
01/01/1997,29.498886000000
01/02/1997,29.994598000000
01/03/1997,30.367889000000
01/04/1997,30.695972000000
01/05/1997,30.976119000000
01/06/1997,31.250957000000
01/07/1997,31.523211000000
01/08/1997,31.803502000000
01/09/1997,32.199613000000
01/10/1997,32.456941000000
01/11/1997,32.820042000000
01/12/1997,33.279875000000
01/01/1998,34.003924000000
01/02/1998,34.599238000000
01/03/1998,35.004533000000
01/04/1998,35.332042000000
01/05/1998,35.613481000000
01/06/1998,36.034420000000
01/07/1998,36.381878000000
01/08/1998,36.731632000000
01/09/1998,37.327376000000
01/10/1998,37.862269000000
01/11/1998,38.532786000000
01/12/1998,39.472974000000
01/01/1999,40.469770000000
01/02/1999,41.013643000000
01/03/1999,41.394684000000
01/04/1999,41.774577000000
01/05/1999,42.025877000000
01/06/1999,42.302006000000
01/07/1999,42.581580000000
01/08/1999,42.821255000000
01/09/1999,43.235018000000
01/10/1999,43.508851000000
01/11/1999,43.895776000000
01/12/1999,44.335516000000
01/01/2000,44.930830000000
01/02/2000,45.329380000000
01/03/2000,45.580681000000
01/04/2000,45.840018000000
01/05/2000,46.011379000000
01/06/2000,46.283920000000
01/07/2000,46.464466000000
01/08/2000,46.719785000000
01/09/2000,47.061072000000
01/10/2000,47.385136000000
01/11/2000,47.790288000000
01/12/2000,48.307671000000
01/01/2001,48.575476000000
01/02/2001,48.543328000000
01/03/2001,48.850888000000
01/04/2001,49.097309000000
01/05/2001,49.209970000000
01/06/2001,49.326364000000
01/07/2001,49.198202000000
01/08/2001,49.489688000000
01/09/2001,49.950381000000
01/10/2001,50.176135000000
01/11/2001,50.365149000000
01/12/2001,50.434899000000
01/01/2002,50.900472000000
01/02/2002,50.867750000000
01/03/2002,51.127948000000
01/04/2002,51.407235000000
01/05/2002,51.511429000000
01/06/2002,51.762586000000
01/07/2002,51.911181000000
01/08/2002,52.108560000000
01/09/2002,52.421984000000
01/10/2002,52.653036000000
01/11/2002,53.078877000000
01/12/2002,53.309930000000
01/01/2003,53.525441000000
01/02/2003,53.674122000000
01/03/2003,54.012930000000
01/04/2003,54.105144000000
01/05/2003,53.930560000000
01/06/2003,53.975112000000
01/07/2003,54.053339000000
01/08/2003,54.215490000000
01/09/2003,54.538238000000
01/10/2003,54.738207000000
01/11/2003,55.192542000000
01/12/2003,55.429811000000
01/01/2004,55.774317000000
01/02/2004,56.107945000000
01/03/2004,56.298071000000
01/04/2004,56.383032000000
01/05/2004,56.241603000000
01/06/2004,56.331745000000
01/07/2004,56.479390000000
01/08/2004,56.828041000000
01/09/2004,57.297917000000
01/10/2004,57.694747000000
01/11/2004,58.186899000000
01/12/2004,58.307088000000
01/01/2005,58.309160000000
01/02/2005,58.503431000000
01/03/2005,58.767121000000
01/04/2005,58.976415000000
01/05/2005,58.828251000000
01/06/2005,58.771783000000
01/07/2005,59.001800000000
01/08/2005,59.072255000000
01/09/2005,59.309006000000
01/10/2005,59.454580000000
01/11/2005,59.882493000000
01/12/2005,60.250312000000
01/01/2006,60.603626000000
01/02/2006,60.696358000000
01/03/2006,60.772512000000
01/04/2006,60.861617000000
01/05/2006,60.590675000000
01/06/2006,60.642998000000
01/07/2006,60.809294000000
01/08/2006,61.119609000000
01/09/2006,61.736612000000
01/10/2006,62.006519000000
01/11/2006,62.331857000000
01/12/2006,62.692424000000
01/01/2007,63.016208000000
01/02/2007,63.192347000000
01/03/2007,63.329113000000
01/04/2007,63.291295000000
01/05/2007,62.982534000000
01/06/2007,63.058170000000
01/07/2007,63.326005000000
01/08/2007,63.583996000000
01/09/2007,64.077703000000
01/10/2007,64.327405000000
01/11/2007,64.781221000000
01/12/2007,65.049056000000
01/01/2008,65.350564000000
01/02/2008,65.544834000000
01/03/2008,66.019891000000
01/04/2008,66.170127000000
01/05/2008,66.098635000000
01/06/2008,66.372168000000
01/07/2008,66.742059000000
01/08/2008,67.127492000000
01/09/2008,67.584935000000
01/10/2008,68.045486000000
01/11/2008,68.818942000000
01/12/2008,69.295552000000
01/01/2009,69.456149000000
01/02/2009,69.609494000000
01/03/2009,70.009950000000
01/04/2009,70.254990000000
01/05/2009,70.050358000000
01/06/2009,70.179354000000
01/07/2009,70.370516000000
01/08/2009,70.538884000000
01/09/2009,70.892716000000
01/10/2009,71.107191000000
01/11/2009,71.476046000000
01/12/2009,71.771855000000
01/01/2010,72.552046000000
01/02/2010,72.971671000000
01/03/2010,73.489725000000
01/04/2010,73.255565000000
01/05/2010,72.793978000000
01/06/2010,72.771183000000
01/07/2010,72.929190000000
01/08/2010,73.131750000000
01/09/2010,73.515110000000
01/10/2010,73.968926000000
01/11/2010,74.561581000000
01/12/2010,74.930954000000
01/01/2011,75.295991000000
01/02/2011,75.578460000000
01/03/2011,75.723451000000
01/04/2011,75.717441000000
01/05/2011,75.159264000000
01/06/2011,75.155508000000
01/07/2011,75.516107000000
01/08/2011,75.635555000000
01/09/2011,75.821113000000
01/10/2011,76.332712000000
01/11/2011,77.158333000000
01/12/2011,77.792385000000
01/01/2012,78.343049000000
01/02/2012,78.502314000000
01/03/2012,78.547389000000
01/04/2012,78.300980000000
01/05/2012,78.053819000000
01/06/2012,78.413667000000
01/07/2012,78.853897000000
01/08/2012,79.090540000000
01/09/2012,79.439119000000
01/10/2012,79.841036000000
01/11/2012,80.383437000000
01/12/2012,80.568243000000
01/01/2013,80.892782000000
01/02/2013,81.290943000000
01/03/2013,81.887433000000
01/04/2013,81.941523000000
01/05/2013,81.668820000000
01/06/2013,81.619238000000
01/07/2013,81.592193000000
01/08/2013,81.824328000000
01/09/2013,82.132340000000
01/10/2013,82.522988000000
01/11/2013,83.292265000000
01/12/2013,83.770058000000
01/01/2014,84.519052000000
01/02/2014,84.733157000000
01/03/2014,84.965292000000
01/04/2014,84.806779000000
01/05/2014,84.535579000000
01/06/2014,84.682072000000
01/07/2014,84.914959000000
01/08/2014,85.219965000000
01/09/2014,85.596340000000
01/10/2014,86.069626000000
01/11/2014,86.763778000000
01/12/2014,87.188984000000
01/01/2015,87.110103000000
01/02/2015,87.275377000000
01/03/2015,87.630717000000
01/04/2015,87.403840000000
01/05/2015,86.967366000000
01/06/2015,87.113108000000
01/07/2015,87.240820000000
01/08/2015,87.424875000000
01/09/2015,87.752419000000
01/10/2015,88.203919000000
01/11/2015,88.685468000000
01/12/2015,89.046818000000
01/01/2016,89.386381000000
01/02/2016,89.777781000000
01/03/2016,89.910001000000
01/04/2016,89.625278000000
01/05/2016,89.225615000000
01/06/2016,89.324028000000
01/07/2016,89.556914000000
01/08/2016,89.809333000000
01/09/2016,90.357744000000
01/10/2016,90.906154000000
01/11/2016,91.616834000000
01/12/2016,92.039035000000
01/01/2017,93.603882000000
01/02/2017,94.144780000000
01/03/2017,94.722489000000
01/04/2017,94.838933000000
01/05/2017,94.725494000000
01/06/2017,94.963640000000
01/07/2017,95.322736000000
01/08/2017,95.793768000000
01/09/2017,96.093515000000
01/10/2017,96.698269000000
01/11/2017,97.695174000000
01/12/2017,98.272883000000
01/01/2018,98.794999699501
01/02/2018,99.171374481640
01/03/2018,99.492156980588
01/04/2018,99.154847046097
01/05/2018,98.994080173087
01/06/2018,99.376464931787
01/07/2018,99.909099104514
01/08/2018,100.492000000000
01/09/2018,100.917000000000
01/10/2018,101.440000000000
01/11/2018,102.303000000000
01/12/2018,103.020000000000
01/01/2019,103.108000000000
01/02/2019,103.079000000000
01/03/2019,103.476000000000
01/04/2019,103.531000000000
01/05/2019,103.233000000000
01/06/2019,103.299000000000
01/07/2019,103.687000000000
01/08/2019,103.670000000000
01/09/2019,103.942000000000
01/10/2019,104.503000000000
01/11/2019,105.346000000000
01/12/2019,105.934000000000
01/01/2020,106.447000000000
01/02/2020,106.889000000000
01/03/2020,106.838000000000
01/04/2020,105.755000000000
01/05/2020,106.162000000000
01/06/2020,106.743000000000
01/07/2020,107.444000000000
01/08/2020,107.867000000000
01/09/2020,108.114000000000
01/10/2020,108.774000000000
01/11/2020,108.856000000000
01/12/2020,109.271000000000
01/01/2021,110.210000000000
01/02/2021,110.907000000000
01/03/2021,111.824000000000
01/04/2021,112.190000000000
01/05/2021,112.419000000000
01/06/2021,113.018000000000
01/07/2021,113.682000000000
01/08/2021,113.899000000000
01/09/2021,114.601000000000
01/10/2021,115.561000000000
01/11/2021,116.884000000000
01/12/2021,117.308000000000
01/01/2022,118.002000000000
01/02/2022,118.981000000000
01/03/2022,120.159000000000
01/04/2022,120.809000000000
01/05/2022,121.022000000000
01/06/2022,122.044000000000
01/07/2022,122.948000000000
01/08/2022,123.803000000000
01/09/2022,124.571000000000
01/10/2022,125.276000000000
01/11/2022,125.997000000000
01/12/2022,126.478000000000
01/01/2023,127.336000000000
01/02/2023,128.046000000000
01/03/2023,128.389000000000
01/04/2023,128.363000000000
01/05/2023,128.084000000000
01/06/2023,128.214000000000
01/07/2023,128.832000000000
01/08/2023,129.545000000000
01/09/2023,130.120000000000
01/10/2023,130.609000000000
01/11/2023,131.445000000000
01/12/2023,132.373000000000
01/01/2024,133.555000000000
01/02/2024,133.681000000000
01/03/2024,134.065000000000
01/04/2024,134.336000000000
01/05/2024,134.087000000000
01/06/2024,134.594000000000
01/07/2024,136.003000000000
01/08/2024,136.013000000000
01/09/2024,136.080000000000
01/10/2024,136.828000000000
01/11/2024,137.424000000000
01/12/2024,137.949000000000
01/01/2025,138.343000000000
01/02/2025,138.726000000000
01/03/2025,139.161000000000
01/04/2025,139.620000000000
01/05/2025,140.012000000000
01/06/2025,140.405000000000
01/07/2025,140.780000000000
01/08/2025,140.867000000000
01/09/2025,141.197000000000
01/10/2025,141.708000000000
01/11/2025,142.645000000000
01/12/2025,143.042000000000
01/01/2026,143.588000000000
01/02/2026,144.307000000000

